Id,Label,d0,Degree,Weighted Degree,modularity_class,clustering,triangles
suppurative parotitis,suppurative parotitis,symptom,5,5,0,1,10
halitosis,halitosis,symptom,113,148,0,0.192004,1215
and tenderness within the areola area,and tenderness within the areola area,symptom,4,4,207,1,6
hidden pain,hidden pain,symptom,16,17,51,0.5,60
consistent dull or achy abdominal pain,consistent dull or achy abdominal pain,symptom,3,3,51,1,3
ascites may cause abdominal distension,ascites may cause abdominal distension,symptom,3,3,51,1,3
injury,injury,symptom,2,2,51,1,1
bone fracture,bone fracture,symptom,2,2,51,1,1
cyanosis in newborns,cyanosis in newborns,symptom,16,16,79,0.65,78
three concave sign,three concave sign,symptom,79,103,79,0.473223,1458
tachypnea,tachypnea,symptom,55,63,79,0.43569,647
and central cyanosis,and central cyanosis,symptom,5,5,79,1,10
tumors located on the bone surface,tumors located on the bone surface,symptom,6,6,207,1,15
slowly growing,slowly growing,symptom,6,6,207,1,15
surrounded by soft tissues but not adherent to them,surrounded by soft tissues but not adherent to them,symptom,6,6,207,1,15
often round or spherical,often round or spherical,symptom,6,6,207,1,15
hard in texture like bone,hard in texture like bone,symptom,6,6,207,1,15
may cause pain,may cause pain,symptom,6,6,207,1,15
contact bleeding,contact bleeding,symptom,17,23,80,0.345588,47
foul-smelling,foul-smelling,symptom,25,25,207,0.373333,112
bloody leukorrhea,bloody leukorrhea,symptom,4,4,80,1,6
dyspnea on recumbency,dyspnea on recumbency,symptom,5,5,79,1,10
lower limb edema,lower limb edema,symptom,93,126,79,0.42029,1798
obvious cyanosis of the skin,obvious cyanosis of the skin,symptom,10,10,79,1,45
mucous membranes of the lips,mucous membranes of the lips,symptom,10,10,79,1,45
and nail beds,and nail beds,symptom,17,17,79,0.485294,66
accompanied by headache,accompanied by headache,symptom,10,10,79,1,45
and erythema on neonatal skin,and erythema on neonatal skin,symptom,2,2,100,1,1
painless exostosis,painless exostosis,symptom,1,1,26,0,0
often without tenderness,often without tenderness,symptom,1,1,26,0,0
diminished taste,diminished taste,symptom,12,12,80,0.69697,46
tongue deviation,tongue deviation,symptom,17,17,80,0.529412,72
enlarged tongue body,enlarged tongue body,symptom,10,10,80,1,45
mucous cyst,mucous cyst,symptom,18,18,80,0.405229,62
salivary gland enlargement,salivary gland enlargement,symptom,10,10,80,1,45
papillary hyperplasia,papillary hyperplasia,symptom,10,10,80,1,45
oral sputum packets,oral sputum packets,symptom,10,10,80,1,45
the skin rash presents as pustules,the skin rash presents as pustules,symptom,26,26,100,1,325
scabs,scabs,symptom,33,33,100,0.712121,376
and purulent ulcers,and purulent ulcers,symptom,26,26,100,1,325
accompanied by a sensation of burning pain. symptoms may include fever,accompanied by a sensation of burning pain. symptoms may include fever,symptom,26,26,100,1,325
and dark yellow urine,and dark yellow urine,symptom,26,26,100,1,325
lethargic state,lethargic state,symptom,11,11,79,1,55
sheath effusion,sheath effusion,symptom,24,25,0,0.630435,174
excessive secretion of growth hormone,excessive secretion of growth hormone,symptom,38,42,1,0.476529,335
abnormal body shape,abnormal body shape,symptom,122,136,1,0.186696,1378
pituitary dysfunction,pituitary dysfunction,symptom,19,19,1,1,171
pituitary crisis,pituitary crisis,symptom,29,29,1,0.581281,236
autonomic dysfunction,autonomic dysfunction,symptom,56,61,31,0.38961,600
and visual field defect,and visual field defect,symptom,19,19,1,1,171
diminished sense of position,diminished sense of position,symptom,9,9,31,1,36
vibratory sensation,vibratory sensation,symptom,9,9,31,1,36
bulbar palsy,bulbar palsy,symptom,34,37,31,0.354724,199
symmetric flaccid paralysis of the palatopharyngeal respiratory muscles,symmetric flaccid paralysis of the palatopharyngeal respiratory muscles,symptom,9,9,31,1,36
sensory impairment,sensory impairment,symptom,64,80,31,0.328869,663
absence of knee jerk reflex,absence of knee jerk reflex,symptom,9,9,31,1,36
the lesions are characterized by white,the lesions are characterized by white,symptom,4,4,27,1,6
flesh-colored,flesh-colored,symptom,8,8,27,0.428571,12
or pale red small papules without significant raised skin,or pale red small papules without significant raised skin,symptom,4,4,27,1,6
flat papular lesions,flat papular lesions,symptom,4,4,27,1,6
and irregular plaques,and irregular plaques,symptom,4,4,27,1,6
unilateral absence of the breast with possible ipsilateral shoulder,unilateral absence of the breast with possible ipsilateral shoulder,symptom,2,2,28,1,1
thorax,thorax,symptom,2,2,28,1,1
and upper limb development defects,and upper limb development defects,symptom,2,2,28,1,1
nosebleeds,nosebleeds,symptom,256,407,0,0.156342,5103
conductive hearing loss,conductive hearing loss,symptom,21,21,100,0.490476,103
ear auricle swelling,ear auricle swelling,symptom,8,8,1,1,28
scleral perforation,scleral perforation,symptom,20,20,1,0.478947,91
mild anemia,mild anemia,symptom,18,18,51,0.712418,109
visible veins on the abdominal wall,visible veins on the abdominal wall,symptom,8,8,51,1,28
and potential for multiple fractures,and potential for multiple fractures,symptom,8,8,51,1,28
slow or no weight gain in infants,slow or no weight gain in infants,symptom,35,41,51,0.657143,391
cataract,cataract,symptom,99,103,1,0.238301,1156
and general body ache,and general body ache,symptom,13,13,0,1,78
signs of sepsis,signs of sepsis,symptom,40,45,51,0.462821,361
thrombocytosis,thrombocytosis,symptom,43,45,51,0.482835,436
mild glove-and-stocking type of sensory impairment,mild glove-and-stocking type of sensory impairment,symptom,3,3,31,1,3
loss of reading ability,loss of reading ability,symptom,3,3,31,1,3
pulmonary infection,pulmonary infection,symptom,155,277,79,0.302891,3615
recurrent pneumonia,recurrent pneumonia,symptom,98,141,79,0.419314,1993
prone to respiratory infections,prone to respiratory infections,symptom,14,14,79,0.615385,56
edema during heart failure,edema during heart failure,symptom,8,8,79,1,28
in a relatively weakened state,in a relatively weakened state,symptom,1,1,29,0,0
constipation or urinary incontinence often coexists,constipation or urinary incontinence often coexists,symptom,1,1,29,0,0
immobility of the eyeball,immobility of the eyeball,symptom,7,9,1,0.714286,15
swelling of the eyelid with a pale green appearance,swelling of the eyelid with a pale green appearance,symptom,5,5,1,1,10
and a feeling of pressure within the eye,and a feeling of pressure within the eye,symptom,5,5,1,1,10
tenderness in the femoral triangle,tenderness in the femoral triangle,symptom,10,10,207,1,45
painful swelling of the thigh,painful swelling of the thigh,symptom,10,10,207,1,45
cyanosis of the skin,cyanosis of the skin,symptom,59,67,207,0.361192,618
varicose veins of the lower limbs,varicose veins of the lower limbs,symptom,31,32,51,0.531183,247
swelling of the calf,swelling of the calf,symptom,18,20,207,0.477124,73
and trophic changes in the skin of the limbs,and trophic changes in the skin of the limbs,symptom,10,10,207,1,45
facial heat,facial heat,symptom,3,3,30,1,3
body reddening,body reddening,symptom,3,3,30,1,3
abdominal cramping,abdominal cramping,symptom,3,3,30,1,3
and reverse coldness in both lower limbs,and reverse coldness in both lower limbs,symptom,3,3,30,1,3
mediastinal lesions,mediastinal lesions,symptom,35,48,79,0.546218,325
difficulty in sucking,difficulty in sucking,symptom,5,5,59,1,10
inability to voluntarily move eyes,inability to voluntarily move eyes,symptom,17,17,1,0.558824,76
ectropion of the lower eyelid,ectropion of the lower eyelid,symptom,14,14,59,0.527473,48
delayed speech development,delayed speech development,symptom,40,42,31,0.260256,203
unclear speech,unclear speech,symptom,22,22,31,0.285714,66
soft skull,soft skull,symptom,8,8,31,1,28
soft neck,soft neck,symptom,8,8,31,1,28
soft hands,soft hands,symptom,8,8,31,1,28
soft muscles,soft muscles,symptom,8,8,31,1,28
weak oral muscles,weak oral muscles,symptom,8,8,31,1,28
history of scrotal trauma,history of scrotal trauma,symptom,11,11,80,1,55
scrotal swelling,scrotal swelling,symptom,47,55,207,0.277521,300
severe pain radiating to the inguinal area,severe pain radiating to the inguinal area,symptom,11,11,80,1,55
lower abdomen,lower abdomen,symptom,33,39,80,0.464015,245
scrotal skin ecchymosis,scrotal skin ecchymosis,symptom,11,11,80,1,55
enlarged,enlarged,symptom,64,71,80,0.201885,407
hardened testes,hardened testes,symptom,20,21,80,0.536842,102
often accompanied by scrotal hematoma or hydrocele,often accompanied by scrotal hematoma or hydrocele,symptom,11,11,80,1,55
urethral discharge,urethral discharge,symptom,40,51,80,0.379487,296
burning sensation in the urethra,burning sensation in the urethra,symptom,120,157,80,0.202801,1448
itching in the urethra,itching in the urethra,symptom,59,68,80,0.279369,478
suprapubic pain,suprapubic pain,symptom,10,10,80,1,45
apathetic expression,apathetic expression,symptom,74,80,79,0.345428,933
paranoia,paranoia,symptom,12,12,79,0.545455,36
disorientation,disorientation,symptom,125,181,79,0.377419,2925
communication difficulties,communication difficulties,symptom,5,5,79,1,10
local swelling,local swelling,symptom,24,27,207,0.355072,98
lymph node enlargement,lymph node enlargement,symptom,144,187,0,0.245532,2528
inguinal lymph node enlargement,inguinal lymph node enlargement,symptom,31,34,51,0.552688,257
cervical lymph node enlargement,cervical lymph node enlargement,symptom,29,31,0,0.35468,144
erythema multiforme-like rash,erythema multiforme-like rash,symptom,85,107,100,0.269188,961
axillary pain,axillary pain,symptom,14,14,0,0.703297,64
lymph node pain,lymph node pain,symptom,53,74,51,0.397678,548
paralytic ileus,paralytic ileus,symptom,54,69,51,0.389937,558
atelectasis,atelectasis,symptom,56,72,79,0.412338,635
acute anemia,acute anemia,symptom,71,91,51,0.312676,777
scoliosis,scoliosis,symptom,132,158,31,0.158917,1374
swelling of the long bones,swelling of the long bones,symptom,5,5,31,1,10
bone thickening,bone thickening,symptom,17,17,207,0.345588,47
steatorrhea,steatorrhea,symptom,113,191,51,0.275601,1744
intellectual impairment,intellectual impairment,symptom,24,24,31,0.717391,198
inability to take care of oneself,inability to take care of oneself,symptom,19,19,31,1,171
history of acute myocardial infarction,history of acute myocardial infarction,symptom,8,8,207,1,28
swelling in the shoulder,swelling in the shoulder,symptom,13,14,207,0.576923,45
hand,hand,symptom,29,29,207,0.295567,120
extension of the upper limbs,extension of the upper limbs,symptom,8,8,207,1,28
even prolapse,even prolapse,symptom,6,6,80,1,15
chronic renal failure,chronic renal failure,symptom,110,159,80,0.305922,1834
urinary extravasation,urinary extravasation,symptom,28,35,80,0.494709,187
and urine retention,and urine retention,symptom,4,4,80,1,6
repeated coughing,repeated coughing,symptom,3,3,79,1,3
expectoration of white viscous sputum,expectoration of white viscous sputum,symptom,3,3,79,1,3
halo nevus,halo nevus,symptom,10,10,100,1,45
osteoporosis,osteoporosis,symptom,182,218,100,0.167203,2754
submandibular gland enlargement,submandibular gland enlargement,symptom,15,15,100,0.52381,55
visceral bleeding,visceral bleeding,symptom,51,59,51,0.386667,493
erythematous papules,erythematous papules,symptom,37,38,100,0.668168,445
obstructions in urination,obstructions in urination,symptom,3,3,32,1,3
intercourse,intercourse,symptom,3,3,32,1,3
and ejaculation; presence of two urethras,and ejaculation; presence of two urethras,symptom,3,3,32,1,3
urethral openings along with independent corpora cavernosa tissue,urethral openings along with independent corpora cavernosa tissue,symptom,3,3,32,1,3
purulent sputum,purulent sputum,symptom,138,276,79,0.313128,2960
asthma-like attacks,asthma-like attacks,symptom,8,8,79,1,28
diffuse periumbilical pain,diffuse periumbilical pain,symptom,10,10,51,1,45
mental confusion,mental confusion,symptom,79,90,79,0.352483,1086
increased bowel sounds,increased bowel sounds,symptom,34,38,51,0.59893,336
abdominal muscle tension,abdominal muscle tension,symptom,113,184,51,0.253319,1603
menstrual irregularities,menstrual irregularities,symptom,150,185,80,0.227919,2547
abnormal eating habits,abnormal eating habits,symptom,5,5,80,1,10
abnormal gastric intake,abnormal gastric intake,symptom,5,5,80,1,10
eye fatigue,eye fatigue,symptom,57,94,1,0.279449,446
itching eyes,itching eyes,symptom,26,26,100,0.535385,174
purulent discharge from the ear,purulent discharge from the ear,symptom,26,29,207,0.473846,154
purulent secretions,purulent secretions,symptom,78,86,100,0.304695,915
itching of the glans,itching of the glans,symptom,22,22,100,1,231
balano-preputial swelling,balano-preputial swelling,symptom,22,22,100,1,231
lichen planus,lichen planus,symptom,19,19,100,0.865497,148
dull headache,dull headache,symptom,6,6,79,0.466667,7
sense of compression,sense of compression,symptom,2,2,207,1,1
heaviness,heaviness,symptom,46,48,207,0.316908,328
enlargement of the thyroid gland,enlargement of the thyroid gland,symptom,13,17,79,1,78
discrepancy between fetal size,discrepancy between fetal size,symptom,6,6,33,1,15
gestational age,gestational age,symptom,6,6,33,1,15
slow uterine growth during pregnancy,slow uterine growth during pregnancy,symptom,6,6,33,1,15
pain or a sense of heaviness in the hernia area,pain or a sense of heaviness in the hernia area,symptom,6,6,51,1,15
sensation of incomplete bowel evacuation,sensation of incomplete bowel evacuation,symptom,28,31,51,0.373016,141
and urinary disturbances,and urinary disturbances,symptom,19,19,31,0.631579,108
excessive height development,excessive height development,symptom,2,2,80,1,1
excessive development of genital organs,excessive development of genital organs,symptom,2,2,80,1,1
increased menstruation,increased menstruation,symptom,6,6,80,0.466667,7
retinal edema,retinal edema,symptom,138,196,1,0.215699,2039
systemic infection toxicity,systemic infection toxicity,symptom,11,11,31,1,55
infectious fever,infectious fever,symptom,132,171,100,0.324196,2803
urticaria-like rash,urticaria-like rash,symptom,56,62,51,0.605844,933
brain abscess,brain abscess,symptom,79,111,0,0.432003,1331
unilateral or bilateral palpable breast tissue,unilateral or bilateral palpable breast tissue,symptom,10,10,25,1,45
presenting as disc-shaped nodules or diffuse enlargement,presenting as disc-shaped nodules or diffuse enlargement,symptom,10,10,25,1,45
liver enlargement,liver enlargement,symptom,45,64,51,0.475758,471
precipitation or gelation of cryoglobulins,precipitation or gelation of cryoglobulins,symptom,9,9,80,1,36
anti-hcvag positive,anti-hcvag positive,symptom,9,9,80,1,36
underdeveloped paranasal sinuses,underdeveloped paranasal sinuses,symptom,11,11,31,1,55
dolichocephaly (long head deformity),dolichocephaly (long head deformity),symptom,11,11,31,1,55
brachycephaly (short head deformity),brachycephaly (short head deformity),symptom,19,19,31,0.502924,86
exophthalmos (protruding eyes),exophthalmos (protruding eyes),symptom,11,11,31,1,55
facial deformities,facial deformities,symptom,32,32,31,0.292339,145
delayed closure of the anterior fontanelle,delayed closure of the anterior fontanelle,symptom,11,11,31,1,55
warty,warty,symptom,2,2,100,1,1
papillary,papillary,symptom,12,12,100,0.69697,46
disc-shaped flat elevations,disc-shaped flat elevations,symptom,2,2,100,1,1
right chest pain,right chest pain,symptom,36,45,0,0.420635,265
influenza-like symptoms,influenza-like symptoms,symptom,42,53,0,0.466899,402
transient influenza-like symptoms,transient influenza-like symptoms,symptom,9,9,0,1,36
interstitial pulmonary fibrosis,interstitial pulmonary fibrosis,symptom,7,7,51,1,21
choking cough,choking cough,symptom,134,196,79,0.247335,2204
chest discomfort,chest discomfort,symptom,124,174,79,0.279832,2134
sinus bradycardia,sinus bradycardia,symptom,7,7,79,1,21
sinoatrial block,sinoatrial block,symptom,24,30,79,0.673913,186
absence of menarche post-puberty,absence of menarche post-puberty,symptom,2,2,34,1,1
progressively worsening cyclic lower abdominal pain,progressively worsening cyclic lower abdominal pain,symptom,2,2,34,1,1
and a palpable mass above the pubic area that increases in size monthly,and a palpable mass above the pubic area that increases in size monthly,symptom,2,2,34,1,1
gastrointestinal distension,gastrointestinal distension,symptom,47,66,51,0.409806,443
hemoperitoneum,hemoperitoneum,symptom,29,32,51,0.46798,190
complicated urinary tract infection,complicated urinary tract infection,symptom,43,44,80,0.33887,306
lower abdominal distension,lower abdominal distension,symptom,38,41,80,0.267425,188
acute urinary retention,acute urinary retention,symptom,43,48,80,0.37763,341
skin redness,skin redness,symptom,103,135,100,0.177803,934
and itching at the same location,and itching at the same location,symptom,2,2,100,1,1
increased discharge,increased discharge,symptom,54,69,1,0.234102,335
lacrimal gland inflammation,lacrimal gland inflammation,symptom,10,10,1,1,45
lacrimal gland prolapse,lacrimal gland prolapse,symptom,10,10,1,1,45
increased tearing in the elderly,increased tearing in the elderly,symptom,10,10,1,1,45
absence of beard,absence of beard,symptom,53,65,80,0.248186,342
axillary,axillary,symptom,35,45,80,0.329412,196
pubic hair,pubic hair,symptom,47,58,80,0.283071,306
generalized erythematous patches,generalized erythematous patches,symptom,45,53,100,0.466667,462
asthma,asthma,symptom,89,125,100,0.405516,1588
squeezing of eyebrows,squeezing of eyebrows,symptom,10,10,59,1,45
making faces,making faces,symptom,10,10,59,1,45
frowning,frowning,symptom,19,20,59,0.526316,90
pouting,pouting,symptom,67,70,59,0.317503,702
sticking out the tongue,sticking out the tongue,symptom,10,10,59,1,45
intermittent flexion,intermittent flexion,symptom,10,10,59,1,45
extension,extension,symptom,89,97,207,0.1476,578
and twisting movements of the limbs or continuous shrugging of shoulders,and twisting movements of the limbs or continuous shrugging of shoulders,symptom,10,10,59,1,45
involuntary movements of the lower limbs resulting in a wobbly walk,involuntary movements of the lower limbs resulting in a wobbly walk,symptom,10,10,59,1,45
eventually leading to inability to stand,eventually leading to inability to stand,symptom,10,10,59,1,45
transient loss of consciousness,transient loss of consciousness,symptom,21,25,79,0.780952,164
significant decrease in vision,significant decrease in vision,symptom,3,3,35,1,3
pupil shows yellow-white reflection,pupil shows yellow-white reflection,symptom,3,3,35,1,3
exotropia of the eyeball,exotropia of the eyeball,symptom,3,3,35,1,3
vitreous has point-like opacities,vitreous has point-like opacities,symptom,3,3,35,1,3
muscle spasms,muscle spasms,symptom,109,115,31,0.223242,1314
tension,tension,symptom,178,230,79,0.175522,2765
and weakness on the affected side,and weakness on the affected side,symptom,4,4,207,1,6
resulting in limping,resulting in limping,symptom,4,4,207,1,6
profuse sweating,profuse sweating,symptom,89,122,79,0.308223,1207
and fatigue,and fatigue,symptom,75,88,51,0.345586,959
inguinal lymphadenopathy,inguinal lymphadenopathy,symptom,33,37,51,0.464015,245
initially presents as red spots on the mucous membranes,initially presents as red spots on the mucous membranes,symptom,8,8,207,1,28
skin of the lips,skin of the lips,symptom,8,8,207,1,28
gums,gums,symptom,12,12,207,0.545455,36
cheeks,cheeks,symptom,76,78,299,0.219649,626
edges of the tongue,edges of the tongue,symptom,8,8,207,1,28
hands,hands,symptom,49,50,207,0.267007,314
followed by the development of vesicles which burst into ulcers,followed by the development of vesicles which burst into ulcers,symptom,8,8,207,1,28
elevated intraocular pressure,elevated intraocular pressure,symptom,69,92,1,0.245098,575
decreased secretion or excretion of pancreatic enzymes,decreased secretion or excretion of pancreatic enzymes,symptom,7,7,51,1,21
limbs with loose,limbs with loose,symptom,4,4,207,1,6
weak tendons,weak tendons,symptom,4,4,207,1,6
muscle,muscle,symptom,76,85,207,0.213684,609
lack of strength,lack of strength,symptom,23,24,51,0.490119,124
inability to move eyes voluntarily,inability to move eyes voluntarily,symptom,18,18,207,0.437908,67
the waist segment is shorter than normal,the waist segment is shorter than normal,symptom,0,0,36,0,0
black stools with blood,black stools with blood,symptom,77,98,51,0.367396,1075
abnormal defecation frequency,abnormal defecation frequency,symptom,73,99,51,0.329528,866
secretory diarrhea,secretory diarrhea,symptom,17,19,51,0.742647,101
cessation of bowel movements,cessation of bowel movements,symptom,28,36,51,0.365079,138
general edema,general edema,symptom,13,13,79,1,78
delayed response,delayed response,symptom,71,78,31,0.257143,639
cranial bone lesions,cranial bone lesions,symptom,22,22,31,0.554113,128
diabetes insipidus,diabetes insipidus,symptom,114,145,1,0.243751,1570
angina pectoris,angina pectoris,symptom,79,108,79,0.357027,1100
myocardial stunning,myocardial stunning,symptom,5,5,79,1,10
salivation,salivation,symptom,55,73,100,0.49899,741
renal osteodystrophy,renal osteodystrophy,symptom,8,8,79,1,28
reduced metabolism,reduced metabolism,symptom,8,8,79,1,28
pigmented iris nevus,pigmented iris nevus,symptom,6,6,1,1,15
heterochromia iridis,heterochromia iridis,symptom,23,23,1,0.304348,77
spontaneous intraocular hemorrhage,spontaneous intraocular hemorrhage,symptom,26,29,1,0.298462,97
corneal edema,corneal edema,symptom,17,22,1,0.683824,93
formation of grey-white tumor nodules on the surface of the iris,formation of grey-white tumor nodules on the surface of the iris,symptom,15,15,1,0.628571,66
localized scleral swelling,localized scleral swelling,symptom,7,7,1,1,21
pain in the supraorbital arch,pain in the supraorbital arch,symptom,7,7,1,1,21
heterogeneous transparent vesicles on the cornea,heterogeneous transparent vesicles on the cornea,symptom,7,7,1,1,21
generalized sweating,generalized sweating,symptom,45,52,79,0.657576,651
mucosal necrotizing ulcers,mucosal necrotizing ulcers,symptom,11,11,51,1,55
pyrroluria,pyrroluria,symptom,24,25,51,0.601449,166
guanidinuria,guanidinuria,symptom,34,35,51,0.449198,252
keratotic rash,keratotic rash,symptom,12,12,51,1,66
aminoaciduria,aminoaciduria,symptom,52,59,51,0.344646,457
dibasic aminoaciduria,dibasic aminoaciduria,symptom,12,12,51,1,66
specific aminoaciduria,specific aminoaciduria,symptom,22,22,51,0.510823,118
limb tremors,limb tremors,symptom,59,64,31,0.42256,723
choreiform involuntary movement,choreiform involuntary movement,symptom,12,12,51,1,66
significant itching,significant itching,symptom,6,6,1,0.466667,7
burning sensation on the eyelids,burning sensation on the eyelids,symptom,2,2,1,1,1
vesicular rash on the lower eyelid skin,vesicular rash on the lower eyelid skin,symptom,2,2,1,1,1
subcutaneous bruising,subcutaneous bruising,symptom,15,15,207,0.428571,45
menorrhagia,menorrhagia,symptom,55,62,80,0.274747,408
postpartum hemorrhage,postpartum hemorrhage,symptom,23,30,80,0.44664,113
and bleeding after tooth extraction,and bleeding after tooth extraction,symptom,5,5,80,1,10
symmetrical weakness in legs,symmetrical weakness in legs,symptom,16,16,31,1,120
abnormal distal limb sensations such as burning,abnormal distal limb sensations such as burning,symptom,16,16,31,1,120
tingling,tingling,symptom,125,147,31,0.219355,1700
and discomfort,and discomfort,symptom,19,19,31,0.766082,131
skin flushing,skin flushing,symptom,50,55,31,0.406531,498
episodic facial flushing,episodic facial flushing,symptom,16,16,31,1,120
increased sweating,increased sweating,symptom,16,16,31,1,120
swelling of hands,swelling of hands,symptom,16,16,31,1,120
neck ache,neck ache,symptom,9,9,207,1,36
anorexia or selective eating,anorexia or selective eating,symptom,8,8,51,1,28
dry skin,dry skin,symptom,314,403,207,0.121507,5971
sparse,sparse,symptom,20,20,0,0.552632,105
dry hair,dry hair,symptom,48,57,1,0.511525,577
stinging pain,stinging pain,symptom,2,2,207,1,1
hyperplasia,hyperplasia,symptom,9,9,207,0.333333,12
rapid breathing in newborns,rapid breathing in newborns,symptom,11,11,100,1,55
recurrent high fever,recurrent high fever,symptom,61,77,0,0.428415,784
nasal congestion in newborns,nasal congestion in newborns,symptom,11,11,100,1,55
weak pulse,weak pulse,symptom,88,110,79,0.303814,1163
vascular bruits,vascular bruits,symptom,14,14,79,0.725275,66
muscle wasting,muscle wasting,symptom,30,32,51,0.482759,210
congestive heart failure,congestive heart failure,symptom,28,28,79,0.537037,203
annular nodules,annular nodules,symptom,11,11,79,1,55
fear of cold,fear of cold,symptom,61,64,204,0.25847,473
preference for warmth,preference for warmth,symptom,30,33,204,0.432184,188
lack of desire to eat or drink,lack of desire to eat or drink,symptom,7,7,204,1,21
vomiting upon encountering cold,vomiting upon encountering cold,symptom,7,7,204,1,21
extremities cold to the touch,extremities cold to the touch,symptom,7,7,204,1,21
clear,clear,symptom,45,47,204,0.259596,257
smooth urination,smooth urination,symptom,14,14,204,0.461538,42
bowel movements,bowel movements,symptom,14,14,204,0.32967,30
sneezing,sneezing,symptom,171,270,79,0.185071,2690
light red rashes,light red rashes,symptom,6,6,79,1,15
emotional disturbances,emotional disturbances,symptom,10,10,31,1,45
acute erythema,acute erythema,symptom,6,6,1,1,15
keratosis pilaris,keratosis pilaris,symptom,1,1,0,0,0
discoid erythema,discoid erythema,symptom,25,26,0,0.606667,182
hyperactive tendon reflexes,hyperactive tendon reflexes,symptom,84,92,31,0.278543,971
paraplegia,paraplegia,symptom,269,383,31,0.181379,6538
skin lesion appears as round or oval nodules,skin lesion appears as round or oval nodules,symptom,2,2,132,1,1
hard in consistency,hard in consistency,symptom,15,15,132,0.371429,39
palpable cord-like object with erythema,palpable cord-like object with erythema,symptom,10,10,100,1,45
mild fever in superficial veins,mild fever in superficial veins,symptom,10,10,100,1,45
swelling of the affected limb,swelling of the affected limb,symptom,10,10,100,1,45
varices,varices,symptom,9,9,51,0.611111,22
pain in the femoral triangle area,pain in the femoral triangle area,symptom,6,6,51,1,15
black stools,black stools,symptom,63,82,51,0.41321,807
chills or rigor,chills or rigor,symptom,4,4,79,1,6
necrotic ulcers in the oral mucosa,necrotic ulcers in the oral mucosa,symptom,4,4,79,1,6
creeping eruption,creeping eruption,symptom,43,43,100,0.674419,609
distension pain,distension pain,symptom,78,93,51,0.430569,1293
pharyngeal spasms,pharyngeal spasms,symptom,28,29,59,0.772487,292
unusual,unusual,symptom,24,24,59,1,276
disordered behavior,disordered behavior,symptom,26,26,59,0.855385,278
myoclonus,myoclonus,symptom,104,122,31,0.253174,1356
attention deficit hyperactivity disorder,attention deficit hyperactivity disorder,symptom,32,34,59,0.655242,325
compulsive behaviors,compulsive behaviors,symptom,24,24,59,1,276
childhood tic disorder,childhood tic disorder,symptom,24,24,59,1,276
nose-picking,nose-picking,symptom,24,24,59,1,276
high levels of aggression,high levels of aggression,symptom,2,2,79,1,1
lack of shame,lack of shame,symptom,10,11,79,0.511111,23
unplanned behavior,unplanned behavior,symptom,3,4,79,0.666667,2
villous atrophy,villous atrophy,symptom,16,16,51,0.616667,74
increased gastrointestinal mucosal permeability,increased gastrointestinal mucosal permeability,symptom,9,9,51,1,36
obstruction of gastrointestinal lymphatic drainage,obstruction of gastrointestinal lymphatic drainage,symptom,9,9,51,1,36
lymphatic congestion,lymphatic congestion,symptom,31,31,207,0.387097,180
lymphatic rupture,lymphatic rupture,symptom,53,58,79,0.531205,732
hypoproteinemia,hypoproteinemia,symptom,68,85,51,0.370939,845
annular plaques with elevated,annular plaques with elevated,symptom,4,4,37,1,6
wart-like edges,wart-like edges,symptom,4,4,37,1,6
thick crusts,thick crusts,symptom,4,4,37,1,6
numerous abscesses beneath crusts,numerous abscesses beneath crusts,symptom,4,4,37,1,6
and purulent drainage,and purulent drainage,symptom,4,4,37,1,6
slow physical development during adolescence,slow physical development during adolescence,symptom,4,4,130,1,6
erythematous rash,erythematous rash,symptom,163,238,100,0.252973,3340
petechiae,petechiae,symptom,185,290,51,0.282726,4812
persistent oral candidiasis,persistent oral candidiasis,symptom,8,9,130,0.607143,17
chronic oral ulcers,chronic oral ulcers,symptom,8,9,130,0.607143,17
elevated bilirubin,elevated bilirubin,symptom,23,26,51,0.644269,163
urethral bleeding,urethral bleeding,symptom,13,14,80,0.525641,41
urethral mucosal eversion,urethral mucosal eversion,symptom,8,8,80,0.607143,17
urethral orifice mass,urethral orifice mass,symptom,6,6,80,0.666667,10
characterized by prolonged fever,characterized by prolonged fever,symptom,15,15,51,1,105
absence of sweat,absence of sweat,symptom,24,25,51,0.608696,168
with onset closely related to hot weather,with onset closely related to hot weather,symptom,15,15,51,1,105
axillary lymph node enlargement,axillary lymph node enlargement,symptom,20,23,51,0.5,95
peau d'orange appearance of the skin,peau d'orange appearance of the skin,symptom,5,5,51,1,10
palpable mobile masses,palpable mobile masses,symptom,5,5,51,1,10
mild pain,mild pain,symptom,50,51,1,0.218776,268
rapid heartbeat,rapid heartbeat,symptom,90,163,79,0.322347,1291
nasal flaring,nasal flaring,symptom,45,50,79,0.427273,423
groaning,groaning,symptom,35,36,79,0.480672,286
startle reactions,startle reactions,symptom,11,11,79,1,55
muffled heart sounds,muffled heart sounds,symptom,28,35,79,0.730159,276
and gallop rhythm at late diastole,and gallop rhythm at late diastole,symptom,11,11,79,1,55
erythema of lips,erythema of lips,symptom,3,3,1,1,3
fissures,fissures,symptom,53,61,100,0.293179,404
and yellowish-white scaling on the surface,and yellowish-white scaling on the surface,symptom,3,3,1,1,3
heteroprotein reaction,heteroprotein reaction,symptom,12,13,51,0.727273,48
firm intradermal or subcutaneous nodules,firm intradermal or subcutaneous nodules,symptom,8,8,100,1,28
